type,approach_class,model_class,class_description,inputs,output,class_license,dataset_schema,class_annotation_sample,tags,class_parameters,reference_url,paper_url,scala_docs,scala_source,scala_source_tests,evaluator_class,paper_abstract,scala_nlp_code,python_nlp_code,python_nlu_code,wikipedia_link
bert_sentence,,BertSentenceEmbeddings,This annotator generates sentence embeddings from all BERT models,document,bert_sentence_embeddings,open source,,,"Deep learning, BERT Sentence Encoder, BERT Sentence Encoder Embeddings, BERT Sentence Embeddings, Sentence Embeddings, Embeddings, BERT "," [{'param_name': 'batchSize', 'param_description': 'Batch size. Large values allows faster processing but requires more memory.', 'param_default_value': '32', 'param_setter_method': 'model.setBatchSize(32)', 'param_getter_method': 'model.getBatchSize()'}, {'param_name': 'maxSentenceLength', 'param_description': 'Max sentence length to process', 'param_default_value': '128', 'param_setter_method': 'model.setMaxSentenceLength(128)', 'param_getter_method': 'model.getMaxSentenceLength()'}, {'param_name': 'dimension', 'param_description': 'Number of embedding dimensions', 'param_default_value': '768', 'param_setter_method': 'model.setDimension(768)', 'param_getter_method': 'model.getDimension()'}, {'param_name': 'caseSensitive', 'param_description': 'whether to ignore case in tokens for embeddings matching', 'param_default_value': 'False', 'param_setter_method': 'model.setCaseSensitive(False)', 'param_getter_method': 'model.getCaseSensitive()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': """"['document']"""", 'param_setter_method': """"model.setInputCols(['document'])"""", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'bert_sentence', 'param_setter_method': """"model.setOutputCol('bert_sentence')"""", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'sent_small_bert_L2_768', 'param_setter_method': """"model.setStorageRef('sent_small_bert_L2_768')"""", 'param_getter_method': 'model.getStorageRef()'}]",https://github.com/google-research/bert,https://arxiv.org/abs/1810.04805,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.embeddings.BertSentenceEmbeddings,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/embeddings/BertSentenceEmbeddings.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/embeddings/BertSentenceEmbeddingsTestSpec.scala,,,,,,
elmo,,ElmoEmbeddings,Computes contextualized word representations using character-based word representations and bidirectional LSTMs,"document, sentence, token",word_embeddings,open source,,,"Deep learning, ELMO, ELMO Embeddings, ELMO Word Embeddings, Transformer,  Word Embeddings, Embeddings","[{'param_name': 'batchSize', 'param_description': 'Batch size. Large values allows faster processing but requires more memory.', 'param_default_value': '32', 'param_setter_method': 'model.setBatchSize(32)', 'param_getter_method': 'model.getBatchSize()'}, {'param_name': 'caseSensitive', 'param_description': 'whether to ignore case in tokens for embeddings matching', 'param_default_value': 'False', 'param_setter_method': 'model.setCaseSensitive(False)', 'param_getter_method': 'model.getCaseSensitive()'}, {'param_name': 'dimension', 'param_description': 'Number of embedding dimensions', 'param_default_value': '512', 'param_setter_method': 'model.setDimension(512)', 'param_getter_method': 'model.getDimension()'}, {'param_name': 'poolingLayer', 'param_description': 'Set ELMO pooling layer to: word_emb, lstm_outputs1, lstm_outputs2, or elmo', 'param_default_value': 'word_emb', 'param_setter_method': ""model.setPoolingLayer('word_emb')"", 'param_getter_method': 'model.getPoolingLayer()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence', 'token']"", 'param_setter_method': ""model.setInputCols(['sentence', 'token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'elmo', 'param_setter_method': ""model.setOutputCol('elmo')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'elmo', 'param_setter_method': ""model.setStorageRef('elmo')"", 'param_getter_method': 'model.getStorageRef()'}]",https://tfhub.dev/google/elmo/3,https://arxiv.org/abs/1802.05365,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.embeddings.ElmoEmbeddings,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/embeddings/ElmoEmbeddings.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/embeddings/ElmoEmbeddingsTestSpec.scala,,,,,,
xlnet,,XlnetEmbeddings,Computes contextualized word representations using combination of Autoregressive Language Model and Permutation Language Model,"document, sentence, token",word_embeddings,open source,,,"Deep learning, XLNET, XLNET Embeddings, XLNET Word Embeddings, Transformer,  Word Embeddings, Embeddings ","[{'param_name': 'batchSize', 'param_description': 'Batch size. Large values allows faster processing but requires more memory.', 'param_default_value': '32', 'param_setter_method': 'model.setBatchSize(32)', 'param_getter_method': 'model.getBatchSize()'}, {'param_name': 'dimension', 'param_description': 'Number of embedding dimensions', 'param_default_value': '768', 'param_setter_method': 'model.setDimension(768)', 'param_getter_method': 'model.getDimension()'}, {'param_name': 'maxSentenceLength', 'param_description': 'Max sentence length to process', 'param_default_value': '128', 'param_setter_method': 'model.setMaxSentenceLength(128)', 'param_getter_method': 'model.getMaxSentenceLength()'}, {'param_name': 'caseSensitive', 'param_description': 'whether to ignore case in tokens for embeddings matching', 'param_default_value': 'True', 'param_setter_method': 'model.setCaseSensitive(True)', 'param_getter_method': 'model.getCaseSensitive()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence', 'token']"", 'param_setter_method': ""model.setInputCols(['sentence', 'token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'xlnet_embeddings', 'param_setter_method': ""model.setOutputCol('xlnet_embeddings')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'xlnet_base_cased', 'param_setter_method': ""model.setStorageRef('xlnet_base_cased')"", 'param_getter_method': 'model.getStorageRef()'}]",https://github.com/zihangdai/xlnet,https://arxiv.org/abs/1906.08237,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.embeddings.XlnetEmbeddings,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/embeddings/XlnetEmbeddings.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/embeddings/XlnetEmbeddingsTestSpec.scala,,,,,,
text_matcher,TextMatcher,TextMatcherModel,Annotator to match entire phrases (by token) provided in a file against a Document,"document, token",entity,open source,,,"text matcher, entity matcher, matcher, phrase matcher , string matcher , text filtering ","[{'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['document', 'token']"", 'param_setter_method': ""model.setInputCols(['document', 'token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'entity', 'param_setter_method': ""model.setOutputCol('entity')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.TextMatcherModel,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/TextMatcherModel.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/TextMatcherTestSpec.scala,,,,,,
date_matcher,,DateMatcher,Reads from different forms of date and time expressions and converts them to a provided date format. Extracts only ONE date per sentence. Use with sentence detector for more matches.,document,date,open source,,,"date matcher, date text matcher, matcher, date phrase matcher , date string matcher, text filtering  ","[{'param_name': 'dateFormat', 'param_description': 'desired format for dates extracted', 'param_default_value': 'yyyyMM', 'param_setter_method': ""model.setDateFormat('yyyyMM')"", 'param_getter_method': 'model.getDateFormat()'}, {'param_name': 'readMonthFirst', 'param_description': 'Whether to parse july 07/05/2015 or as 05/07/2015', 'param_default_value': 'True', 'param_setter_method': 'model.setReadMonthFirst(True)', 'param_getter_method': 'model.getReadMonthFirst()'}, {'param_name': 'defaultDayWhenMissing', 'param_description': 'which day to set when it is missing from parsed input', 'param_default_value': '1', 'param_setter_method': 'model.setDefaultDayWhenMissing(1)', 'param_getter_method': 'model.getDefaultDayWhenMissing()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['document']"", 'param_setter_method': ""model.setInputCols(['document'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'date', 'param_setter_method': ""model.setOutputCol('date')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.DateMatcher,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/DateMatcher.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/DateMatcherTestSpec.scala,,,,,,
regex_matcher,RegexMatcher,RegexMatcherModel,Uses a reference file to match a set of regular expressions and put them inside a provided key. File must be comma separated.,"document, token",regex_entity,open source,,,"regex matcher, regex text matcher, matcher, regex phrase matcher , regex string matcher , text filtering ","[{'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['document', 'token']"", 'param_setter_method': ""model.setInputCols(['document', 'token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'regex_entity', 'param_setter_method': ""model.setOutputCol('regex_entity')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.RegexMatcher,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/RegexMatcherModel.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/RegexMatcherTestSpec.scala,,,,,,
normalizer,Normalizer,NormalizerModel,Removes all dirty characters from text following a regex pattern and transforms words based on a provided dictionary,token,normalized,open source,,,"text cleaning , text preprocessing, dirty char removal, normalizing, text preprocessing","[{'param_name': 'cleanupPatterns', 'param_description': 'normalization regex patterns which match will be removed from token', 'param_default_value': ""['[^\\\\pL+]']"", 'param_setter_method': ""model.setCleanupPatterns(['[^\\\\pL+]'])"", 'param_getter_method': 'model.getCleanupPatterns()'}, {'param_name': 'lowercase', 'param_description': 'whether to convert strings to lowercase', 'param_default_value': 'False', 'param_setter_method': 'model.setLowercase(False)', 'param_getter_method': 'model.getLowercase()'}, {'param_name': 'slangMatchCase', 'param_description': 'whether or not to be case sensitive to match slangs. Defaults to false.', 'param_default_value': 'False', 'param_setter_method': 'model.setSlangMatchCase(False)', 'param_getter_method': 'model.getSlangMatchCase()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['token']"", 'param_setter_method': ""model.setInputCols(['token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'normalized', 'param_setter_method': ""model.setOutputCol('normalized')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.Normalizer,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/NormalizerModel.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/NormalizerTestSpec.scala,,,,,,
deep_sentence_detector,,DeepSentenceDetector,Finds sentence bounds in raw text using deep learning.,document,sentence,open source,,,"detector Deep Learning,sentence detector, sentence boundary detector, deep sentence detector, deep sentence boundary detector","[{'param_name': 'includesPragmaticSegmenter', 'param_description': 'Whether to include rule-based sentence detector as first filter', 'param_default_value': 'True', 'param_setter_method': 'model.setIncludesPragmaticSegmenter(True)', 'param_getter_method': 'model.getIncludesPragmaticSegmenter()'}, {'param_name': 'endPunctuation', 'param_description': 'An array of symbols that deep sentence detector will consider as end of sentence punctuation', 'param_default_value': ""['.', '?']"", 'param_setter_method': ""model.setEndPunctuation(['.', '?'])"", 'param_getter_method': 'model.getEndPunctuation()'}, {'param_name': 'explodeSentences', 'param_description': 'whether to explode each sentence into a different row, for better parallelization. Defaults to false.', 'param_default_value': 'False', 'param_setter_method': 'model.setExplodeSentences(False)', 'param_getter_method': 'model.getExplodeSentences()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['document', 'token', 'ner_chunk']"", 'param_setter_method': ""model.setInputCols(['document', 'token', 'ner_chunk'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'sentence', 'param_setter_method': ""model.setOutputCol('sentence')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.sbd.deep.DeepSentenceDetector,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/sbd/deep/DeepSentenceDetector.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/sbd/deep/DeepSentenceDetector.scala,,,,,,
sentence_detector,,SentenceDetector,Finds sentence bounds in raw text. Applies rules from Pragmatic Segmenter.,"document, token",sentence,open source,,,"detector ,sentence detector, sentence boundary detector","[{'param_name': 'useAbbreviations', 'param_description': 'whether to apply abbreviations at sentence detection', 'param_default_value': 'True', 'param_setter_method': 'model.setUseAbbreviations(True)', 'param_getter_method': 'model.getUseAbbreviations()'}, {'param_name': 'detectLists', 'param_description': 'whether detect lists during sentence detection', 'param_default_value': 'True', 'param_setter_method': 'model.setDetectLists(True)', 'param_getter_method': 'model.getDetectLists()'}, {'param_name': 'useCustomBoundsOnly', 'param_description': 'Only utilize custom bounds in sentence detection', 'param_default_value': 'False', 'param_setter_method': 'model.setUseCustomBoundsOnly(False)', 'param_getter_method': 'model.getUseCustomBoundsOnly()'}, {'param_name': 'customBounds', 'param_description': 'characters used to explicitly mark sentence bounds', 'param_default_value': '[]', 'param_setter_method': 'model.setCustomBounds([])', 'param_getter_method': 'model.getCustomBounds()'}, {'param_name': 'explodeSentences', 'param_description': 'whether to explode each sentence into a different row, for better parallelization. Defaults to false.', 'param_default_value': 'False', 'param_setter_method': 'model.setExplodeSentences(False)', 'param_getter_method': 'model.getExplodeSentences()'}, {'param_name': 'minLength', 'param_description': 'Set the minimum allowed length for each sentence.', 'param_default_value': '0', 'param_setter_method': 'model.setMinLength(0)', 'param_getter_method': 'model.getMinLength()'}, {'param_name': 'maxLength', 'param_description': 'Set the maximum allowed length for each sentence', 'param_default_value': '99999', 'param_setter_method': 'model.setMaxLength(99999)', 'param_getter_method': 'model.getMaxLength()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['document']"", 'param_setter_method': ""model.setInputCols(['document'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'sentence', 'param_setter_method': ""model.setOutputCol('sentence')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/sbd/pragmatic/SentenceDetector.scala,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.sbd.pragmatic.SentenceDetector,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/test/scala/com/johnsnowlabs/nlp/annotators/sbd/pragmatic,,,,,,
context_spell,ContextSpellCheckerApproach,ContextSpellCheckerModel,Implements Noisy Channel Model Spell Algorithm. Correction candidates are extracted combining context information and word information,token,spell,open source,,,"context spell checker, Noisy Channel Model Algorithm, spell checker spell check ,spell checking , text preprocessing","[{'param_name': 'caseStrategy', 'param_description': 'What case combinations to try when generating candidates.', 'param_default_value': '2', 'param_setter_method': 'model.setCaseStrategy(2)', 'param_getter_method': 'model.getCaseStrategy()'}, {'param_name': 'compareLowcase', 'param_description': 'If true will compare tokens in low case with vocabulary', 'param_default_value': 'False', 'param_setter_method': 'model.setCompareLowcase(False)', 'param_getter_method': 'model.getCompareLowcase()'}, {'param_name': 'correctSymbols', 'param_description': 'Whether to correct special symbols or skip spell checking for them', 'param_default_value': 'False', 'param_setter_method': 'model.setCorrectSymbols(False)', 'param_getter_method': 'model.getCorrectSymbols()'}, {'param_name': 'gamma', 'param_description': 'Controls the influence of individual word frequency in the decision.', 'param_default_value': '120.0', 'param_setter_method': 'model.setGamma(120.0)', 'param_getter_method': 'model.getGamma()'}, {'param_name': 'maxCandidates', 'param_description': 'Maximum number of candidates for every word.', 'param_default_value': '6', 'param_setter_method': 'model.setMaxCandidates(6)', 'param_getter_method': 'model.getMaxCandidates()'}, {'param_name': 'maxWindowLen', 'param_description': 'Maximum size for the window used to remember history prior to every correction.', 'param_default_value': '5', 'param_setter_method': 'model.setMaxWindowLen(5)', 'param_getter_method': 'model.getMaxWindowLen()'}, {'param_name': 'trim', 'param_description': 'When set to true new lines will be treated as any other character, when set to false correction is applied on paragraphs as defined by newline characters.', 'param_default_value': 'False', 'param_setter_method': 'model.setTrim(False)', 'param_getter_method': 'model.getTrim()'}, {'param_name': 'errorThreshold', 'param_description': 'Threshold perplexity for a word to be considered as an error.', 'param_default_value': '7.0', 'param_setter_method': 'model.setErrorThreshold(7.0)', 'param_getter_method': 'model.getErrorThreshold()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['token']"", 'param_setter_method': ""model.setInputCols(['token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'spell', 'param_setter_method': ""model.setOutputCol('spell')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'tradeoff', 'param_description': 'Tradeoff between the cost of a word error and a transition in the language model.', 'param_default_value': '8.0', 'param_setter_method': 'model.setTradeoff(8.0)', 'param_getter_method': 'model.getTradeoff()'}, {'param_name': 'wordMaxDistance', 'param_description': 'Maximum distance for the generated candidates for every word.', 'param_default_value': '3', 'param_setter_method': 'model.setWordMaxDistance(3)', 'param_getter_method': 'model.getWordMaxDistance()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.spell.context.ContextSpellCheckerModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/spell/context,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/test/scala/com/johnsnowlabs/nlp/annotators/spell/context,,,,,,
norvig_spell,NorvigSweetingApproach,NorvigSweetingModel,This annotator retrieves tokens and makes corrections automatically if not found in an English dictionary,token,token,open source,,,"norvig spell,norvig spell checker, spell check, spell checking, text preprocessing","[{'param_name': 'caseSensitive', 'param_description': 'sensitivity on spell checking', 'param_default_value': 'True', 'param_setter_method': 'model.setCaseSensitive(True)', 'param_getter_method': 'model.getCaseSensitive()'}, {'param_name': 'doubleVariants', 'param_description': 'increase search at cost of performance', 'param_default_value': 'False', 'param_setter_method': 'model.setDoubleVariants(False)', 'param_getter_method': 'model.getDoubleVariants()'}, {'param_name': 'dupsLimit', 'param_description': 'maximum duplicate of characters in a word to consider. Defaults to 2', 'param_default_value': '2', 'param_setter_method': 'model.setDupsLimit(2)', 'param_getter_method': 'model.getDupsLimit()'}, {'param_name': 'frequencyPriority', 'param_description': 'applies frequency over hamming in intersections. When false hamming takes priority', 'param_default_value': 'True', 'param_setter_method': 'model.setFrequencyPriority(True)', 'param_getter_method': 'model.getFrequencyPriority()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['token']"", 'param_setter_method': ""model.setInputCols(['token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'intersections', 'param_description': 'hamming intersections to attempt. Defaults to 10', 'param_default_value': '10', 'param_setter_method': 'model.setIntersections(10)', 'param_getter_method': 'model.getIntersections()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'checked', 'param_setter_method': ""model.setOutputCol('checked')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'reductLimit', 'param_description': 'word reductions limit. Defaults to 3', 'param_default_value': '3', 'param_setter_method': 'model.setReductLimit(3)', 'param_getter_method': 'model.getReductLimit()'}, {'param_name': 'shortCircuit', 'param_description': 'increase performance at cost of accuracy', 'param_default_value': 'False', 'param_setter_method': 'model.setShortCircuit(False)', 'param_getter_method': 'model.getShortCircuit()'}, {'param_name': 'vowelSwapLimit', 'param_description': 'vowel swap attempts. Defaults to 6', 'param_default_value': '6', 'param_setter_method': 'model.setVowelSwapLimit(6)', 'param_getter_method': 'model.getVowelSwapLimit()'}, {'param_name': 'wordSizeIgnore', 'param_description': 'minimum size of word before ignoring. Defaults to 3', 'param_default_value': '3', 'param_setter_method': 'model.setWordSizeIgnore(3)', 'param_getter_method': 'model.getWordSizeIgnore()'}]",https://github.com/wolfgarbe/SymSpell,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.spell.norvig.NorvigSweetingModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/spell/norvig,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/spell/norvig/NorvigSweetingTestSpec.scala,,,,,,
symmetric_spell,SymmetricDeleteApproach,SymmetricDeleteModel,This spell checker is inspired on Symmetric Delete algorithm. It retrieves tokens and utilizes distance metrics to compute possible derived words,token,spell,open source,,,"symmetric spell,symmetric spell checker, spell check, spell checking, text preprocessing ","[{'param_name': 'caseStrategy', 'param_description': 'What case combinations to try when generating candidates.', 'param_default_value': '2', 'param_setter_method': 'model.setCaseStrategy(2)', 'param_getter_method': 'model.getCaseStrategy()'}, {'param_name': 'compareLowcase', 'param_description': 'If true will compare tokens in low case with vocabulary', 'param_default_value': 'False', 'param_setter_method': 'model.setCompareLowcase(False)', 'param_getter_method': 'model.getCompareLowcase()'}, {'param_name': 'correctSymbols', 'param_description': 'Whether to correct special symbols or skip spell checking for them', 'param_default_value': 'False', 'param_setter_method': 'model.setCorrectSymbols(False)', 'param_getter_method': 'model.getCorrectSymbols()'}, {'param_name': 'gamma', 'param_description': 'Controls the influence of individual word frequency in the decision.', 'param_default_value': '120.0', 'param_setter_method': 'model.setGamma(120.0)', 'param_getter_method': 'model.getGamma()'}, {'param_name': 'maxCandidates', 'param_description': 'Maximum number of candidates for every word.', 'param_default_value': '6', 'param_setter_method': 'model.setMaxCandidates(6)', 'param_getter_method': 'model.getMaxCandidates()'}, {'param_name': 'maxWindowLen', 'param_description': 'Maximum size for the window used to remember history prior to every correction.', 'param_default_value': '5', 'param_setter_method': 'model.setMaxWindowLen(5)', 'param_getter_method': 'model.getMaxWindowLen()'}, {'param_name': 'trim', 'param_description': 'When set to true new lines will be treated as any other character, when set to false correction is applied on paragraphs as defined by newline characters.', 'param_default_value': 'False', 'param_setter_method': 'model.setTrim(False)', 'param_getter_method': 'model.getTrim()'}, {'param_name': 'errorThreshold', 'param_description': 'Threshold perplexity for a word to be considered as an error.', 'param_default_value': '7.0', 'param_setter_method': 'model.setErrorThreshold(7.0)', 'param_getter_method': 'model.getErrorThreshold()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['token']"", 'param_setter_method': ""model.setInputCols(['token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'context_spell@auto_generated', 'param_setter_method': ""model.setOutputCol('context_spell@auto_generated')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'tradeoff', 'param_description': 'Tradeoff between the cost of a word error and a transition in the language model.', 'param_default_value': '8.0', 'param_setter_method': 'model.setTradeoff(8.0)', 'param_getter_method': 'model.getTradeoff()'}, {'param_name': 'wordMaxDistance', 'param_description': 'Maximum distance for the generated candidates for every word.', 'param_default_value': '3', 'param_setter_method': 'model.setWordMaxDistance(3)', 'param_getter_method': 'model.getWordMaxDistance()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.spell.symmetric.SymmetricDeleteModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/spell/symmetric,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/test/scala/com/johnsnowlabs/nlp/annotators/spell/symmetric,,,,,,
stemmer,,Stemmer,Returns hard-stems out of words with the objective of retrieving the meaningful part of the word,token,stem,open source,,,"stemmer, stemming, stemmwords, hard-stems, text preprocessing","[{'param_name': 'language', 'param_description': 'stemmer algorithm', 'param_default_value': 'english', 'param_setter_method': ""model.setLanguage('english')"", 'param_getter_method': 'model.getLanguage()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['token']"", 'param_setter_method': ""model.setInputCols(['token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'stem', 'param_setter_method': ""model.setOutputCol('stem')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.Stemmer,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/Stemmer.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/StemmerTestSpec.scala,,,,,,
