title,labels,author,name,latest_date,tags,description,dataset_info,included_models,dimension,edition,language,license,compatibility,inputs,case_sensitive,output,type,download_url,demo_url,colab_url,file,spark_version,ts,dataset
ALBERT XLarge Uncase,,John Snow Labs,albert_xlarge_uncased,2020-04-28,"[embeddings, en, open_source]","ALBERT is ""A Lite"" version of BERT, a popular unsupervised language representation learning algorithm. ALBERT uses parameter,reduction techniques that allow for large,scale configurations, overcome previous memory limitations, and achieve better behavior with respect to model degradation. The details are described in the paper ""[ALBERT: A Lite BERT for Self,supervised Learning of Language Representations.](https://arxiv.org/abs/1909.11942)""",The model is imported from [https://tfhub.dev/google/albert_xlarge/3](https://tfhub.dev/google/albert_xlarge/3),,2048,Official,en,Open Source,2.5.0,"sentence, token",false,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/albert_xlarge_uncased_en_2.5.0_2.4_1588073443653.zip,,,albert_xlarge_uncased_en_2.5.0_2.4_1588073443653.zip,2.4,1588073443653,mds
ALBERT XXLarge Uncase,,John Snow Labs,albert_xxlarge_uncased,2020-04-28,"[embeddings, en, open_source]","ALBERT is ""A Lite"" version of BERT, a popular unsupervised language representation learning algorithm. ALBERT uses parameter,reduction techniques that allow for large,scale configurations, overcome previous memory limitations, and achieve better behavior with respect to model degradation. The details are described in the paper ""[ALBERT: A Lite BERT for Self,supervised Learning of Language Representations.](https://arxiv.org/abs/1909.11942)""",The model is imported from [https://tfhub.dev/google/albert_xlarge/3](https://tfhub.dev/google/albert_xlarge/3),,1024,Official,en,Open Source,2.5.0,"sentence, token",false,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/albert_xxlarge_uncased_en_2.5.0_2.4_1588073588232.zip,,,albert_xxlarge_uncased_en_2.5.0_2.4_1588073588232.zip,2.4,1588073588232,mds
Wiki NER 6B 100,,John Snow Labs,wikiner_6B_100,2019-07-13,"[open_source, ner, de]","Wiki NER is a Named Entity Recognition (or NER) model, that can be used to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. Wiki NER 6B 100 is trained with GloVe 6B 100 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is trained based on data from [https://de.wikipedia.org](https://de.wikipedia.org),,,Official,de,Open Source,2.1.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_de_2.1.0_2.4_1564861417829.zip,https://demo.johnsnowlabs.com/public/NER_DE,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_DE.ipynb,wikiner_6B_300_de_2.1.0_2.4_1564861417829.zip,2.4,1564861417829,mds
BERT Base Cased,,John Snow Labs,bert_base_cased,2020-01-02,"[open_source, embeddings, en]","This model contains a deep bidirectional transformer trained on Wikipedia and the BookCorpus. The details are described in the paper ""[BERT: Pre,training of Deep Bidirectional Transformers for Language Understanding](https://arxiv.org/abs/1810.04805)"".",The model is imported from [https://tfhub.dev/google/bert_cased_L-24_H-1024_A-16/1](https://tfhub.dev/google/bert_cased_L-24_H-1024_A-16/1),,768,Official,en,Open Source,2.4.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/bert_base_cased_en_2.4.0_2.4_1580579557778.zip,,,bert_base_cased_en_2.4.0_2.4_1580579557778.zip,2.4,1580579557778,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2020-02-03,"[ner, it, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://it.wikipedia.org](https://it.wikipedia.org),,,Official,it,Open Source,2.4.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_it_2.4.0_2.4_1579699913554.zip,https://demo.johnsnowlabs.com/public/NER_IT,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_IT.ipynb,wikiner_840B_300_it_2.4.0_2.4_1579699913554.zip,2.4,1579699913554,mds
WikiNER 6B 300,,John Snow Labs,wikiner_6B_300,2020-03-16,"[ner, ru, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 300 is trained with GloVe 6B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://ru.wikipedia.org](https://ru.wikipedia.org),,,Official,ru,Open Source,2.4.4,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_ru_2.4.4_2.4_1584014001694.zip,https://demo.johnsnowlabs.com/public/NER_RU,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_RU.ipynb,wikiner_6B_300_ru_2.4.4_2.4_1584014001694.zip,2.4,1584014001694,mds
ALBERT Large Uncase,,John Snow Labs,albert_large_uncased,2020-04-28,"[embeddings, en, open_source]","ALBERT is ""A Lite"" version of BERT, a popular unsupervised language representation learning algorithm. ALBERT uses parameter,reduction techniques that allow for large,scale configurations, overcome previous memory limitations, and achieve better behavior with respect to model degradation. The details are described in the paper ""[ALBERT: A Lite BERT for Self,supervised Learning of Language Representations.](https://arxiv.org/abs/1909.11942)""",The model is imported from [https://tfhub.dev/google/albert_large/3](https://tfhub.dev/google/albert_large/3),,1024,Official,en,Open Source,2.5.0,"sentence, token",false,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/albert_large_uncased_en_2.5.0_2.4_1588073397355.zip,,,albert_large_uncased_en_2.5.0_2.4_1588073397355.zip,2.4,1588073397355,mds
Assertion DL,"Hypothetical, Present, Absent, Possible, Conditional, Associated_with_someone_else",John Snow Labs,assertion_dl,2020-01-30,"[licensed, ner, en]","Deep learning named entity recognition model for assertions. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with 'embeddings_clinical'.
https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/",,,Healthcare,en,Licensed,2.4.0,"sentence, ner_chunk, embeddings",false,assertion,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_en_2.4.0_2.4_1580237286004.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,assertion_dl_en_2.4.0_2.4_1580237286004.zip,2.4,1580237286004,mds
NerDLModel Healthcare,"Problem, Test, Treatment",John Snow Labs,ner_healthcare,2020-03-26,"[ner, en, licensed]","Pretrained named entity recognition deep learning model for healthcare. Includes Problem, Test and Treatment entities. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on 2010 i2b2 challenge data with 'embeddings_clinical'.
https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/",,,Healthcare,en,Licensed,2.4.4,"sentence,token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_healthcare_en_2.4.4_2.4_1585188313964.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_healthcare_en_2.4.4_2.4_1585188313964.zip,2.4,1585188313964,mds
WikiNER 6B 300,,John Snow Labs,wikiner_6B_300,2019-07-13,"[open_source, ner, fr]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 300 is trained with GloVe 6B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is trained based on data from [https://fr.wikipedia.org](https://fr.wikipedia.org),,,Official,fr,Open Source,2.1.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_fr_2.1.0_2.4_1564817386216.zip,https://demo.johnsnowlabs.com/public/NER_FR,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_FR.ipynb,wikiner_6B_300_fr_2.1.0_2.4_1564817386216.zip,2.4,1564817386216,mds
NerDLModel Risk Factors,"CAD, Diabetes, Family_hist, Hyperlipidemia, Hypertension, Medication, Obese, PHI, Smoker",John Snow Labs,ner_risk_factors,2020-04-22,"[ner, en, licensed]","Pretrained named entity recognition deep learning model for Heart Disease Risk Factors and Personal Health Information. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on plain n2c2 2014: De-identification and Heart Disease Risk Factors Challenge datasets with 'embeddings_clinical'.
https://portal.dbmi.hms.harvard.edu/projects/n2c2-2014/",,,Healthcare,en,Licensed,2.4.2,"sentence,token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_risk_factors_en_2.4.2_2.4_1587513300751.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_risk_factors_en_2.4.2_2.4_1587513300751.zip,2.4,1587513300751,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2020-02-03,"[ner, de, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://de.wikipedia.org](https://de.wikipedia.org),,,Official,de,Open Source,2.4.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_de_2.4.0_2.4_1579699913555.zip,https://demo.johnsnowlabs.com/public/NER_DE,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_DE.ipynb,wikiner_840B_300_de_2.4.0_2.4_1579699913555.zip,2.4,1579699913555,mds
Deidentify (Large),,John Snow Labs,deidentify_large,2020-08-04,"[deid, en, licensed]","Deidentify (Large) is a deidentification model. It identifies instances of protected health information in text documents, and it can either obfuscate them (e.g., replacing names with different, fake names) or mask them (e.g., replacing ""2020,06,04"" with ""<DATE>""). This model is useful for maintaining HIPAA compliance when dealing with text documents that contain protected health information.",The model is imported from [https://portal.dbmi.hms.harvard.edu/projects/n2c2-2014/](https://portal.dbmi.hms.harvard.edu/projects/n2c2-2014/),,,Official,en,Licensed,2.5.5,"sentence, token, ner_chunk",false,obfuscated,deid,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/nerdl_deid_en_1.8.0_2.4_1545462443516.zip,https://demo.johnsnowlabs.com/healthcare/DEID_PHI_TEXT,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/healthcare/DEID_PHI_TEXT.ipynb,nerdl_deid_en_1.8.0_2.4_1545462443516.zip,2.4,1545462443516,mds
Assertion ML,"Hypothetical, Present, Absent, Possible, Conditional, Associated_with_someone_else",John Snow Labs,assertion_ml,2020-01-30,"[licensed, ner, en]",Logistic regression based named entity recognition model for assertions.,"Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with 'embeddings_clinical'.
https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/",,,Healthcare,en,Licensed,2.4.0,"sentence, ner_chunk, embeddings",false,assertion,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,2.4,1590022282256,mds
GloVe 840B 300,,John Snow Labs,glove_840B_300,2020-02-03,"[embeddings, en, open_source]","GloVe (Global Vectors) is a model for distributed word representation. This is achieved by mapping words into a meaningful space where the distance between words is related to semantic similarity. It outperformed many common Word2vec models on the word analogy task. One benefit of GloVe is that it is the result of directly modeling relationships, instead of getting them as a side effect of training a language model.",The model is imported from [https://nlp.stanford.edu/projects/glove/](https://nlp.stanford.edu/projects/glove/),,300,Official,en,Open Source,2.4.0,sentence. token,false,embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/glove_840B_300_xx_2.4.0_2.4_1579698926752.zip,https://demo.johnsnowlabs.com/public/NER_EN,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_EN.ipynb,glove_840B_300_xx_2.4.0_2.4_1579698926752.zip,2.4,1579698926752,mds
WikiNER 6B 100,,John Snow Labs,wikiner_6B_100,2020-05-10,"[ner, nl, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 100 is trained with GloVe 6B 100 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is trained based on data from [https://fr.wikipedia.org](https://fr.wikipedia.org),,,Official,nl,Open Source,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_100_nl_2.5.0_2.4_1588546201140.zip,https://demo.johnsnowlabs.com/public/NER_NL,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_NL.ipynb,wikiner_6B_100_nl_2.5.0_2.4_1588546201140.zip,2.4,1588546201140,mds
Ner DL Model Enriched,"Age, Diagnosis, Dosage, Drug_name, Frequency, Gender, Lab_name, Lab_result, Symptom_name",John Snow Labs,ner_jsl_enriched,2020-04-22,"[ner, en, licensed]","Pretrained named entity recognition deep learning model for clinical terminology. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on data gathered and manually annotated by John Snow Labs.
https://www.johnsnowlabs.com/data/",,,Healthcare,en,Licensed,2.4.2,"sentence,token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_jsl_enriched_en_2.4.2_2.4_1587513303751.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_jsl_enriched_en_2.4.2_2.4_1587513303751.zip,2.4,1587513303751,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2019-07-13,"[open_source, ner, it]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://it.wikipedia.org](https://it.wikipedia.org),,,Official,it,Open Source,2.1.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_it_2.1.0_2.4_1563095099139.zip,https://demo.johnsnowlabs.com/public/NER_IT,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_IT.ipynb,wikiner_840B_300_it_2.1.0_2.4_1563095099139.zip,2.4,1563095099139,mds
Glove 6B 100,,John Snow Labs,glove_100d,2020-01-22,"[open_source, embeddings, en]","GloVe (Global Vectors) is a model for distributed word representation. This is achieved by mapping words into a meaningful space where the distance between words is related to semantic similarity. It outperformed many common Word2vec models on the word analogy task. One benefit of GloVe is that it is the result of directly modeling relationships, instead of getting them as a side effect of training a language model.",The model is imported from [https://nlp.stanford.edu/projects/glove/](https://nlp.stanford.edu/projects/glove/),,100,Official,en,Open Source,2.4.0,"sentence, token",false,embeddings,word_embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/glove_100d_en_2.4.0_2.4_1579690104032.zip,https://demo.johnsnowlabs.com/public/NER_EN/,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/jupyter/training/english/dl-ner/ner_dl.ipynb,glove_100d_en_2.4.0_2.4_1579690104032.zip,2.4,1579690104032,mds
NerDLModel Clinical Events,"Date,Time,Problem,Test,Treatment,Occurence,Clinical_Dept,Evidential,Duration,Frequency,Admission,Discharge",John Snow Labs,ner_events_clinical,2020-03-25,"[ner, en, licensed]","Pretrained named entity recognition deep learning model for clinical events. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on i2b2 events data with 'clinical_embeddings'.
https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/",,,Healthcare,en,Licensed,2.5.0,"sentence,token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_events_clinical_en_2.5.0_2.4_1590021303624.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_events_clinical_en_2.5.0_2.4_1590021303624.zip,2.4,1590021303624,mds
Neoplasms NER,,John Snow Labs,ner_neoplasms,2020-07-03,"[ner, en, licensed]","Neoplasms NER is a Named Entity Recognition model that annotates text to find references to tumors. The only entity it annotates is MalignantNeoplasm. Neoplasms NER is trained with the 'embeddings_clinical' word embeddings model, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://temu.bsc.es/cantemist/](https://temu.bsc.es/cantemist/),,,Official,es,Licensed,2.5.3,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_neoplasms_es_2.5.3_2.4_1594168624415.zip,https://demo.johnsnowlabs.com/healthcare/NER_TUMOR,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/healthcare/NER_TUMOR.ipynb,ner_neoplasms_es_2.5.3_2.4_1594168624415.zip,2.4,1594168624415,mds
BioBERT Discharge,,John Snow Labs,biobert_discharge_base_cased,2020-07-20,"[embeddings, en, open_source]","This model contains a pre,trained weights of ClinicalBERT for discharge summaries. This domain,specific model has performance improvements on 3/5 clinical NLP tasks andd establishing a new state,of,the,art on the MedNLI dataset. The details are described in the paper ""[Publicly Available Clinical BERT Embeddings](https://www.aclweb.org/anthology/W19,1909/)"".",The model is imported from [https://github.com/EmilyAlsentzer/clinicalBERT](https://github.com/EmilyAlsentzer/clinicalBERT),,768,Official,en,Open Source,2.5.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/biobert_discharge_base_cased_en_2.5.0_2.4_1590490193605.zip,,,biobert_discharge_base_cased_en_2.5.0_2.4_1590490193605.zip,2.4,1590490193605,mds
WikiNER 6B 300,,John Snow Labs,wikiner_6B_300,2020-02-03,"[ner, de, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 300 is trained with GloVe 6B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://de.wikipedia.org](https://de.wikipedia.org),,,Official,de,Open Source,2.4.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_de_2.4.0_2.4_1579717534653.zip,https://demo.johnsnowlabs.com/public/NER_DE,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_DE.ipynb,wikiner_6B_300_de_2.4.0_2.4_1579717534653.zip,2.4,1579717534653,mds
BioBERT PMC,,John Snow Labs,biobert_pmc_base_cased,2020-07-20,"[embeddings, en, open_source]","This model contains a pre,trained weights of BioBERT, a language representation model for biomedical domain, especially designed for biomedical text mining tasks such as biomedical named entity recognition, relation extraction, question answering, etc. The details are described in the paper ""[BioBERT: a pre,trained biomedical language representation model for biomedical text mining](https://arxiv.org/abs/1901.08746)"".",The model is imported from [https://github.com/dmis-lab/biobert](https://github.com/dmis-lab/biobert),,768,Official,en,Open Source,2.5.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/biobert_pmc_base_cased_en_2.5.0_2.4_1590489029151.zip,,,biobert_pmc_base_cased_en_2.5.0_2.4_1590489029151.zip,2.4,1590489029151,mds
WikiNER 6B 100,,John Snow Labs,wikiner_6B_100,2020-03-16,"[ner, ru, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 100 is trained with GloVe 6B 100 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://ru.wikipedia.org](https://ru.wikipedia.org),,,Official,ru,Open Source,2.4.4,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_100_ru_2.4.4_2.4_1584014001452.zip,https://demo.johnsnowlabs.com/public/NER_RU,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_RU.ipynb,wikiner_6B_100_ru_2.4.4_2.4_1584014001452.zip,2.4,1584014001452,mds
WikiNER 6B 300,,John Snow Labs,wikiner_6B_300,2020-05-10,"[ner, nl, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 300 is trained with GloVe 6B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is trained based on data from [https://fr.wikipedia.org](https://fr.wikipedia.org),,,Official,nl,Open Source,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_nl_2.5.0_2.4_1588546201483.zip,https://demo.johnsnowlabs.com/public/NER_NL,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_NL.ipynb,wikiner_6B_300_nl_2.5.0_2.4_1588546201483.zip,2.4,1588546201483,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2020-02-03,"[ner, fr, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is trained based on data from [https://fr.wikipedia.org](https://fr.wikipedia.org),,,Official,fr,Open Source,2.4.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_fr_2.4.0_2.4_1579699913554.zip,https://demo.johnsnowlabs.com/public/NER_FR,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_FR.ipynb,wikiner_840B_300_fr_2.4.0_2.4_1579699913554.zip,2.4,1579699913554,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2020-05-10,"[ner, nl, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is trained based on data from [https://fr.wikipedia.org](https://fr.wikipedia.org),,,Official,nl,Open Source,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_nl_2.5.0_2.4_1588546201484.zip,https://demo.johnsnowlabs.com/public/NER_NL,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_NL.ipynb,wikiner_840B_300_nl_2.5.0_2.4_1588546201484.zip,2.4,1588546201484,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2020-05-10,"[ner, pt, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://pt.wikipedia.org](https://pt.wikipedia.org),,,Official,pt,Open Source,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_pt_2.5.0_2.4_1588495233642.zip,https://demo.johnsnowlabs.com/public/NER_PT,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_PT.ipynb,wikiner_840B_300_pt_2.5.0_2.4_1588495233642.zip,2.4,1588495233642,mds
Elmo,,John Snow Labs,elmo,2020-01-31,"[embeddings, en, open_source]","Computes contextualized word representations using character,based word representations and bidirectional LSTMs.,This model outputs fixed embeddings at each LSTM layer and a learnable aggregation of the 3 layers.,* `word_emb`: the character,based word representations with shape [batch_size, max_length, 512].  == word_emb,* `lstm_outputs1`: the first LSTM hidden state with shape [batch_size, max_length, 1024]. === lstm_outputs1,* `lstm_outputs2`: the second LSTM hidden state with shape [batch_size, max_length, 1024]. === lstm_outputs2,* `elmo`: the weighted sum of the 3 layers, where the weights are trainable. This tensor has shape [batch_size, max_length, 1024]  == elmo,The complex architecture achieves state of the art results on several benchmarks. Note that this is a very computationally expensive module compared to word embedding modules that only perform embedding lookups. The use of an accelerator is recommended.,The details are described in the paper ""[Deep contextualized word representations](https://arxiv.org/abs/1802.05365)"".",The model is imported from [https://tfhub.dev/google/elmo/3](https://tfhub.dev/google/elmo/3),,5121024,Official,en,Open Source,2.4.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/elmo_en_2.4.0_2.4_1580488815299.zip,,,elmo_en_2.4.0_2.4_1580488815299.zip,2.4,1580488815299,mds
